protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00719/19;00004/2019;Pregao Presencial;201067;11760000;2019;2,31405E+13;1226000;1
Doc. 00719/19;00004/2019;Pregao Presencial;201067;700000;2019;2,40844E+13;15080350;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;91665000;2019;2,42949E+13;15124650;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;10000000;2019;2,50301E+13;2650000;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;91665000;2019;2,78345E+13;13467000;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;27100000;2019;2,925E+13;8738100;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;91665000;2019;2,99791E+13;11494000;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;11760000;2019;3,21948E+13;829680;1
Doc. 00721/20;00034/2019;Pregao Presencial;201028;47069250;2020;2,9885E+13;12573550;1
Doc. 00722/20;00001/2020;Tomada de Precos;201172;2000000;2020;1,08723E+13;45262230;0
Doc. 00722/20;00001/2020;Tomada de Precos;201172;63530000;2020;3,28432E+13;44795362;1
Doc. 00740/19;00004/2019;Pregao Presencial;601014;16280000;2019;1,2734E+13;9355100;1
Doc. 00740/19;00004/2019;Pregao Presencial;601014;17665824;2019;1,36269E+13;12697238;1
Doc. 00764/19;00001/2019;Pregao Presencial;201137;16280000;2019;8,13498E+12;10800000;1
Doc. 00766/19;00007/2019;Pregao Presencial;201067;55751000;2019;7,00971E+13;10818945;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;5339492;2020;2,36193E+11;51940320;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;3500000;2020;3,81704E+12;41300860;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;885000;2020;8,16029E+12;32933930;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;3600000;2020;8,67475E+12;26866400;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;5339492;2020;8,7782E+12;18054150;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;5339492;2020;1,08317E+13;41377240;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;10060000;2020;1,52186E+13;43541220;1
